v8-version,6,8,275,32,-node.12,0
code-creation,Builtin,3,2152,0x32ce62691f60,75,InterpreterOnStackReplacement
code-creation,Builtin,3,2156,0x32ce62692000,832,CompileLazy
code-creation,Builtin,3,2159,0x32ce62692380,919,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2162,0x32ce62689d60,201,DeserializeLazy
code-creation,Builtin,3,2165,0x32ce62692760,163,InstantiateAsmJs
code-creation,Builtin,3,2168,0x32ce62692860,47,NotifyDeoptimized
code-creation,Builtin,3,2170,0x32ce626928e0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2173,0x32ce62692960,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2176,0x32ce626929e0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2179,0x32ce62692a60,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2182,0x32ce62692ae0,70,OnStackReplacement
code-creation,Builtin,3,2185,0x32ce62692b80,15,HandleApiCall
code-creation,Builtin,3,2188,0x32ce62692be0,15,HandleApiCallAsFunction
code-creation,Builtin,3,2191,0x32ce62692c40,15,HandleApiCallAsConstructor
code-creation,Builtin,3,2193,0x32ce62692ca0,29,AllocateInNewSpace
code-creation,Builtin,3,2196,0x32ce62692d00,36,AllocateInOldSpace
code-creation,Builtin,3,2200,0x32ce62692d80,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2203,0x32ce62693120,544,GrowFastDoubleElements
code-creation,Builtin,3,2206,0x32ce62693380,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2209,0x32ce626935c0,363,NewArgumentsElements
code-creation,Builtin,3,2212,0x32ce62693780,464,DebugBreakTrampoline
code-creation,Builtin,3,2215,0x32ce626939a0,130,FrameDropperTrampoline
code-creation,Builtin,3,2218,0x32ce62693a80,63,HandleDebuggerStatement
code-creation,Builtin,3,2221,0x32ce62693b00,402,ToObject
code-creation,Builtin,3,2224,0x32ce62693ce0,151,ToBoolean
code-creation,Builtin,3,2228,0x32ce62693dc0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2231,0x32ce62693f20,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,2234,0x32ce62694080,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2237,0x32ce626941c0,229,NonPrimitiveToPrimitive_Number
